ID,Class
7131,air_conditioner
5658,siren
570,drilling
57,drilling
5253,drilling
749,engine_idling
8216,dog_bark
7619,siren
5181,dog_bark
6054,car_horn
2461,drilling
5689,street_music
1569,drilling
7060,air_conditioner
4249,engine_idling
5302,jackhammer
5869,jackhammer
1715,street_music
8472,children_playing
7162,gun_shot
3776,dog_bark
1938,car_horn
3061,street_music
2790,jackhammer
2140,jackhammer
1598,jackhammer
1690,jackhammer
6644,siren
2669,air_conditioner
4776,siren
8706,siren
995,drilling
829,air_conditioner
6954,dog_bark
2494,engine_idling
8274,engine_idling
6068,street_music
1883,dog_bark
8444,air_conditioner
5908,siren
3367,car_horn
8219,engine_idling
2695,engine_idling
4474,jackhammer
3206,engine_idling
2333,air_conditioner
1556,jackhammer
7954,drilling
3896,air_conditioner
3185,street_music
6562,jackhammer
6497,car_horn
3050,engine_idling
1338,street_music
8307,car_horn
1841,jackhammer
285,jackhammer
8064,dog_bark
8625,car_horn
2750,jackhammer
6961,air_conditioner
6270,siren
8293,jackhammer
4919,air_conditioner
5640,jackhammer
1415,children_playing
6480,children_playing
3531,dog_bark
1941,engine_idling
858,engine_idling
1497,children_playing
8401,jackhammer
1462,street_music
4927,car_horn
7432,street_music
2763,jackhammer
7347,gun_shot
3871,siren
5511,air_conditioner
342,children_playing
4632,dog_bark
2019,siren
7699,car_horn
148,car_horn
5356,jackhammer
5847,dog_bark
8344,siren
8310,car_horn
6443,car_horn
7585,gun_shot
4081,air_conditioner
2917,gun_shot
6543,dog_bark
4658,engine_idling
6977,engine_idling
3281,children_playing
8653,drilling
5960,street_music
6991,siren
6109,street_music
1032,street_music
72,street_music
4836,children_playing
6179,engine_idling
6589,dog_bark
4609,children_playing
1353,drilling
1312,engine_idling
7657,dog_bark
4138,engine_idling
2555,children_playing
2529,street_music
3621,children_playing
6080,air_conditioner
5867,engine_idling
2666,siren
3753,car_horn
1653,gun_shot
3528,jackhammer
3143,street_music
6230,engine_idling
8443,car_horn
4041,car_horn
2379,engine_idling
3580,street_music
2739,siren
6434,air_conditioner
7203,children_playing
5558,siren
613,siren
6655,siren
8447,dog_bark
7084,street_music
8156,street_music
3947,street_music
6189,siren
6742,dog_bark
1365,siren
1059,gun_shot
2449,air_conditioner
6010,air_conditioner
6929,air_conditioner
484,children_playing
160,dog_bark
8594,car_horn
67,children_playing
5412,jackhammer
6653,dog_bark
3008,engine_idling
511,children_playing
7697,engine_idling
4201,street_music
1314,gun_shot
5128,dog_bark
5988,engine_idling
444,car_horn
2291,gun_shot
4749,air_conditioner
2219,children_playing
7966,dog_bark
7685,jackhammer
7595,jackhammer
583,dog_bark
4637,air_conditioner
6668,car_horn
2756,drilling
2330,drilling
5147,dog_bark
3016,drilling
1228,jackhammer
4170,jackhammer
5336,engine_idling
6138,drilling
5338,jackhammer
7091,children_playing
7975,siren
430,siren
5597,jackhammer
4236,drilling
2548,car_horn
2103,street_music
7065,dog_bark
8673,dog_bark
5600,drilling
5085,children_playing
1606,car_horn
2686,car_horn
4078,street_music
6085,engine_idling
3349,jackhammer
2473,siren
693,air_conditioner
5089,children_playing
6652,air_conditioner
6610,drilling
7323,drilling
1100,air_conditioner
3813,siren
2033,dog_bark
6445,gun_shot
3187,children_playing
2258,children_playing
7338,dog_bark
1028,engine_idling
845,engine_idling
7568,drilling
600,street_music
4863,dog_bark
853,children_playing
3731,children_playing
7142,engine_idling
3861,engine_idling
6573,street_music
4386,siren
7522,dog_bark
449,dog_bark
1512,drilling
4925,street_music
3486,jackhammer
2338,dog_bark
3941,engine_idling
3584,siren
7529,siren
2190,drilling
7538,engine_idling
8382,dog_bark
7744,street_music
3433,air_conditioner
8142,engine_idling
7868,car_horn
8724,children_playing
1072,children_playing
2057,car_horn
4574,children_playing
339,street_music
6291,engine_idling
8660,street_music
1235,jackhammer
6770,jackhammer
1796,air_conditioner
3985,engine_idling
7641,street_music
5645,dog_bark
3903,air_conditioner
35,gun_shot
3286,jackhammer
2593,jackhammer
7503,jackhammer
1716,street_music
1231,dog_bark
4963,engine_idling
557,air_conditioner
1181,children_playing
5503,engine_idling
2884,siren
7431,dog_bark
3055,engine_idling
4728,air_conditioner
4959,drilling
3082,drilling
2050,jackhammer
4083,children_playing
7995,engine_idling
5528,drilling
7178,drilling
8612,siren
3131,air_conditioner
3089,street_music
4314,engine_idling
3994,children_playing
2544,car_horn
5564,engine_idling
5497,car_horn
8628,children_playing
2425,air_conditioner
3200,dog_bark
7558,drilling
7898,car_horn
952,dog_bark
4563,drilling
1840,gun_shot
1047,car_horn
6820,dog_bark
1156,children_playing
2309,engine_idling
2523,siren
4045,drilling
5233,jackhammer
7256,siren
5962,dog_bark
6180,jackhammer
308,street_music
2464,children_playing
2132,engine_idling
5149,street_music
4821,air_conditioner
2699,children_playing
7009,children_playing
3729,engine_idling
6536,dog_bark
4075,dog_bark
2324,dog_bark
5199,air_conditioner
1361,dog_bark
2664,siren
2067,air_conditioner
5406,air_conditioner
5761,street_music
7069,air_conditioner
7939,children_playing
7982,air_conditioner
4193,car_horn
7674,drilling
516,dog_bark
2703,children_playing
358,siren
3805,jackhammer
2025,jackhammer
2201,dog_bark
2169,children_playing
3574,engine_idling
249,siren
4943,gun_shot
2946,drilling
1891,dog_bark
803,drilling
1257,street_music
5051,drilling
7577,children_playing
8193,children_playing
2304,gun_shot
7019,street_music
8501,street_music
4290,children_playing
6245,drilling
4614,siren
691,engine_idling
5796,gun_shot
4653,siren
1045,engine_idling
1612,jackhammer
6667,drilling
2084,dog_bark
6765,drilling
5966,siren
93,street_music
5234,siren
6852,street_music
8587,drilling
4527,children_playing
5456,siren
7405,drilling
7467,engine_idling
3320,dog_bark
7723,street_music
1945,drilling
8598,drilling
2532,children_playing
2499,children_playing
3978,siren
3034,siren
7638,air_conditioner
6638,children_playing
1056,children_playing
7929,drilling
6487,street_music
4778,air_conditioner
7779,children_playing
4197,jackhammer
8596,siren
5623,drilling
8465,dog_bark
1150,drilling
3848,children_playing
811,air_conditioner
349,car_horn
7516,gun_shot
5323,air_conditioner
5607,engine_idling
4164,siren
1564,gun_shot
3101,street_music
2017,jackhammer
121,jackhammer
3209,children_playing
3669,engine_idling
5808,children_playing
4829,jackhammer
1542,street_music
1848,siren
8008,gun_shot
1615,car_horn
4873,engine_idling
196,dog_bark
3860,dog_bark
728,siren
4952,drilling
4911,drilling
8500,engine_idling
